,,data-flow,control-flow,dynamic-analysis,semantic-analysis,problem-frames,model,static-analysis,dependencies,mult-objective,dependency,feature,data,rest,graph,domain,cohesion,coupling,unknown,multiple,neural,layer,business,neural-network,strangler,change-history,contributor-based,logs,transactional-contexts,logsteam,execution-flow
https://www.researchgate.net/profile/Niko-Benkler/publication/332590138_An_Approach_for_Identifying_Microservices_using_Clustering_on_Control_Flow_and_Data_Flow/links/5cbf273b299bf1209779a9af/An-Approach-for-Identifying-Microservices-using-Clustering-on-Control-Flow-and-Data-Flow.pdf,"An Approach for Identifying Microservices using Clustering on Control Flow and Data Flow",x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/VISSOFT.2018.00012,"Visualization Tool for Designing Microservices with the Monolith-First Approach",,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/SEAI55746.2022.9832106,"A Microservices Identification Approach based on Problem Frames",,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.5220/0007732101340146,"Migration of software components to microservices: Matching and synthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://doi.org/10.18419/opus-12078,"How to strangle systematically: an approach and case study for the continuous evolution of monoliths to microservices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-32022-5_9,"Migration of Monolithic Applications Towards Microservices Under the Vision of the Information Hiding Principle: A Systematic Mapping Study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.sysarc.2021.102200,"A multi-model based microservices identification approach",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1002/smr.2503,"From legacy to microservices: A type-based approach for microservices identification using machine learning and semantic analysis",,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICSA-C54293.2022.00028,"Automated Microservice Decomposition Method as Multi-Objective Optimization",,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/APSEC.2017.53,"From Monolith to Microservices: A Dataflow-Driven Approach",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-85521-5_20,"Digital Transformation and the Role of Dynamic Tooling in Extracting Microservices from Existing Software Systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3275219.3275230,"Migrating Web Applications from Monolithic Structure to Microservices Architecture",x,,x,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/SOSE55356.2022.00008,"Migrating Monoliths to Microservices based on the Analysis of Database Access Requests",,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
https://doi.org/10.1142/S021819402250019X,"A Novel Method for Identifying Microservices by Considering Quality Expectations and Deployment Constraints",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10863/5599,"Architectural Patterns for Microservices: A Systematic Mapping Study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/SoSE50414.2020.9130466,"Extracting Microservices’ Candidates from Monolithic Applications: Interface Analysis and Evaluation Metrics Approach",,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3524304.3524325,"Implementation of Domain-oriented Microservices Decomposition based on Node-attributed Network",,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1155/2020/4295937,"An Approach for Reconstructing Applications to Develop Container-Based Microservices",,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/IT48810.2020.9070652,"Identifying microservices using structured system analysis",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://oceanrep.geomar.de/id/eprint/48007/,"Modernization of Monolithic Legacy Applications towards a Microservice Architecture with ExplorViz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-319-67262-5_2,"Microservices Identification Through Interface Analysis",,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-91431-8_60,"Pangaea: Semi-automated Monolith Decomposition into Microservices",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3234152.3234195,"An automatic extraction approach: transition to microservices architecture from monolithic application",,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jss.2019.07.008,"A dataflow-driven approach to identifying microservices from monolithic applications",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3457913.3457939,"A Feature Table approach to decomposing monolithic applications into microservices",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICWS.2018.00034,"Functionality-Oriented Microservice Extraction Based on Execution Trace Clustering",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ISSREW51248.2020.00071,"Domain Metric Driven Decomposition of Data-Intensive Applications",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-29983-5_17,"Tool Support for the Migration to Microservice Architecture: An Industrial Case Study",,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ISSREW53611.2021.00056,"Migration of Monoliths through the Synthesis of Microservices using Combinatorial Optimization",,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
https://doi.org/10.48550/arXiv.1605.03175,"Towards a Technique for Extracting Microservices from Monolithic Enterprise Systems",,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.infsof.2022.106996,"Improving microservices extraction using evolutionary search",,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
https://doi.org/10.1109/AICT50176.2020.9368571,"Towards Decomposing Monolithic Applications into Microservices",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
https://repositorio-aberto.up.pt/bitstream/10216/122620/2/355627.pdf,"Refactoring Monoliths to Microservices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3530019.3530040,"A Hierarchical DBSCAN Method for Extracting Microservices from Monolithic Applications",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-319-99933-3_4,"Identifying Microservices Using Functional Decomposition",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-33702-5_5,"Towards Automated Microservices Extraction Using Muti-objective Evolutionary Search",,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
https://doi.org/10.3390/app11177856,"On Microservice Analysis and Architecture Evolution: A Systematic Mapping Study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1002/spe.2956,"Migrating production monolithic systems to microservices using aspect oriented programming",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/978-3-030-06019-0_10,"From Monolith to Microservices: A Classification of Refactoring Approaches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3311/PPee.13925,"A New Decomposition Method for Designing Microservices",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s10664-021-10049-7,"Analysis of a many-objective optimization approach for identifying microservices from legacy systems",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
https://doi.org/10.13052/jwe1540-9589.2158,"Microservices Identification in Monolith Systems: Functionality Redesign Complexity and Evaluation of Similarity Measures",,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,
https://doi.org/10.1145/3234152.3234197,"Towards defining a microservice migration framework",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/TSE.2019.2910531,"Service Candidate Identification from Monolithic Systems Based on Execution Traces",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1109/ICSA-C52384.2021.00013,"A Process Model for Microservices Design and Identification",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1111/exsy.13158,"Expert system for automatic microservices identification using API similarity graph",,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3475061.3475086,"Refactoring Java Monoliths into Executable Microservice-Based Applications",,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
https://doi.org/10.1145/3412841.3442016,"Identification of microservices from monolithic applications through topic modelling",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
https://repozitorium.omikk.bme.hu/bitstream/handle/10890/16951/ertekezes.pdf,"Microservices identification methods and quality metrics",,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,
http://doi.org/10.18419/opus-11501,"A meta-approach to guide architectural refactoring from monolithic applications to microservices",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
