url,name,approach,status,language
https://www.researchgate.net/profile/Niko-Benkler/publication/332590138_An_Approach_for_Identifying_Microservices_using_Clustering_on_Control_Flow_and_Data_Flow/links/5cbf273b299bf1209779a9af/An-Approach-for-Identifying-Microservices-using-Clustering-on-Control-Flow-and-Data-Flow.pdf,"An Approach for Identifying Microservices using Clustering on Control Flow and Data Flow",data-flow,method,agnostic
https://doi.org/10.1109/VISSOFT.2018.00012,"Visualization Tool for Designing Microservices with the Monolith-First Approach",dynamic-analysis,tool,unknown
https://doi.org/10.1109/SEAI55746.2022.9832106,"A Microservices Identification Approach based on Problem Frames",problem-frames,method,agnostic
https://doi.org/10.5220/0007732101340146,"Migration of software components to microservices: Matching and synthesis",,,
http://doi.org/10.18419/opus-12078,"How to strangle systematically: an approach and case study for the continuous evolution of monoliths to microservices",,,
https://doi.org/10.1007/978-3-030-32022-5_9,"Migration of Monolithic Applications Towards Microservices Under the Vision of the Information Hiding Principle: A Systematic Mapping Study",,,
https://doi.org/10.1016/j.sysarc.2021.102200,"A multi-model based microservices identification approach",model,method,java
https://doi.org/10.1002/smr.2503,"From legacy to microservices: A type-based approach for microservices identification using machine learning and semantic analysis",static-analysis,tool,agnostic
https://doi.org/10.1109/ICSA-C54293.2022.00028,"Automated Microservice Decomposition Method as Multi-Objective Optimization",mult-objective,method,agnostic
https://doi.org/10.1109/APSEC.2017.53,"From Monolith to Microservices: A Dataflow-Driven Approach",data-flow,algorithm,agnostic
https://doi.org/10.1007/978-3-030-85521-5_20,"Digital Transformation and the Role of Dynamic Tooling in Extracting Microservices from Existing Software Systems",,,
https://doi.org/10.1145/3275219.3275230,"Migrating Web Applications from Monolithic Structure to Microservices Architecture",static-analysis,method,agnostic
https://doi.org/10.1109/SOSE55356.2022.00008,"Migrating Monoliths to Microservices based on the Analysis of Database Access Requests",data,method,agnostic
https://doi.org/10.1142/S021819402250019X,"A Novel Method for Identifying Microservices by Considering Quality Expectations and Deployment Constraints",model,algorithm,agnostic
https://doi.org/10863/5599,"Architectural Patterns for Microservices: A Systematic Mapping Study",,,
https://doi.org/10.1109/SoSE50414.2020.9130466,"Extracting Microservices’ Candidates from Monolithic Applications: Interface Analysis and Evaluation Metrics Approach",rest,algorithm,agnostic
https://doi.org/10.1145/3524304.3524325,"Implementation of Domain-oriented Microservices Decomposition based on Node-attributed Network",static-analysis,method,agnostic
https://doi.org/10.1155/2020/4295937,"An Approach for Reconstructing Applications to Develop Container-Based Microservices",data,method,agnostic
https://doi.org/10.1109/IT48810.2020.9070652,"Identifying microservices using structured system analysis",data-flow,method,agnostic
https://oceanrep.geomar.de/id/eprint/48007/,"Modernization of Monolithic Legacy Applications towards a Microservice Architecture with ExplorViz",,,
https://doi.org/10.1007/978-3-319-67262-5_2,"Microservices Identification Through Interface Analysis",rest,algorithm,agnostic
https://doi.org/10.1007/978-3-030-91431-8_60,"Pangaea: Semi-automated Monolith Decomposition into Microservices",model,tool,agnostic
https://doi.org/10.1145/3234152.3234195,"An automatic extraction approach: transition to microservices architecture from monolithic application",static-analysis,method,agnostic
https://doi.org/10.1016/j.jss.2019.07.008,"A dataflow-driven approach to identifying microservices from monolithic applications",data-flow,algorithm,agnostic
https://doi.org/10.1145/3457913.3457939,"A Feature Table approach to decomposing monolithic applications into microservices",feature,tool,java 
https://doi.org/10.1109/ICWS.2018.00034,"Functionality-Oriented Microservice Extraction Based on Execution Trace Clustering",feature,method,agnostic
https://doi.org/10.1109/ISSREW51248.2020.00071,"Domain Metric Driven Decomposition of Data-Intensive Applications",domain,method,agnostic
https://doi.org/10.1007/978-3-030-29983-5_17,"Tool Support for the Migration to Microservice Architecture: An Industrial Case Study",static-analysis,tool,java
https://doi.org/10.1109/ISSREW53611.2021.00056,"Migration of Monoliths through the Synthesis of Microservices using Combinatorial Optimization",cohesion,method,agnostic
