Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Practical Event-Driven Microservices Architecture","","","","","10.1007/978-1-4842-7468-2","Hugo Filipe Oliveira Rocha","2022","http://link.springer.com/book/10.1007/978-1-4842-7468-2","Book"
"Cloud Native Architecture and Design","","","","","10.1007/978-1-4842-7226-8","Shivakumar R Goniwada","2022","http://link.springer.com/book/10.1007/978-1-4842-7226-8","Book"
"Service-Oriented Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91431-8","Hakim HacidOdej KaoMassimo MecellaDr. Naouel MohaHye-young Paik","2021","http://link.springer.com/book/10.1007/978-3-030-91431-8","Book"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-031-15559-8","Murat YilmazPaul ClarkeRichard MessnarzBruno Wöran","2022","http://link.springer.com/book/10.1007/978-3-031-15559-8","Book"
"Pro Microservices in .NET 6","","","","","10.1007/978-1-4842-7833-8","Sean WhitesellRob RichardsonMatthew D. Groves","2022","http://link.springer.com/book/10.1007/978-1-4842-7833-8","Book"
"Pro Java Microservices with Quarkus and Kubernetes","","","","","10.1007/978-1-4842-7170-4","Nebrass Lamouchi","2021","http://link.springer.com/book/10.1007/978-1-4842-7170-4","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-79382-1","Marcello La RosaShazia SadiqProf. Ernest Teniente","2021","http://link.springer.com/book/10.1007/978-3-030-79382-1","Book"
"On the Migration to and Synthesis of (Micro-)services: The Use of Intelligent Techniques","Next-Gen Digital Services. A Retrospective and Roadmap for Service Computing of the Future","","","","10.1007/978-3-030-73203-5_4","Andreas S. AndreouAndreas Christoforou","2021","http://link.springer.com/chapter/10.1007/978-3-030-73203-5_4","Chapter"
"From Monolith to Microservice","Designing Microservices with Django","","","","10.1007/978-1-4842-5358-8_5","Akos Hochrein","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5358-8_5","Chapter"
"Software Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-031-11513-4","Prof. Dr. Hans-Georg FillDr. Marten van SinderenProf. Leszek A. Maciaszek","2022","http://link.springer.com/book/10.1007/978-3-031-11513-4","Book"
"Service-Oriented Computing  – ICSOC 2020 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-76352-7","Hakim HacidFatma OutayHye-young PaikAmira AlloumMarinella PetrocchiMohamed Reda BouadjenekDr. Amin BeheshtiXumin LiuAbderrahmane Maaradji","2021","http://link.springer.com/book/10.1007/978-3-030-76352-7","Book"
"Materializing Microservice-oriented Architecture from Monolithic Object-oriented Source Code","Software Technologies","","","","10.1007/978-3-031-11513-4_7","Pascal ZaragozaAbdelhak-Djamel SeriaiAbderrahmane SeriaiAnas ShatnawiHinde-Lilia BouzianeMustapha Derras","2022","http://link.springer.com/chapter/10.1007/978-3-031-11513-4_7","Chapter"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91452-3","Luca ArditoAndreas JedlitschkaDr. Maurizio MorisioProf. Marco Torchiano","2021","http://link.springer.com/book/10.1007/978-3-030-91452-3","Book"
"Software Architecture","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86044-8","Univ.-Prof. Dr. Stefan BifflElena NavarroWelf LöweProf. Marjan SirjaniProf. Raffaela MirandolaProf. Dr. Danny Weyns","2021","http://link.springer.com/book/10.1007/978-3-030-86044-8","Book"
"Software Architecture","Lecture Notes in Computer Science","","","","10.1007/978-3-031-16697-6","Ilias GerostathopoulosGrace LewisThais BatistaTomáš Bureš","2022","http://link.springer.com/book/10.1007/978-3-031-16697-6","Book"
"Migrating from Monoliths to Cloud-Based Microservices: A Banking Industry Example","Software Engineering in the Era of Cloud Computing","","","","10.1007/978-3-030-33624-0_4","Alan MegargelVenky ShankararamanDavid K. Walker","2020","http://link.springer.com/chapter/10.1007/978-3-030-33624-0_4","Chapter"
"Computational Science and Its Applications – ICCSA 2022","Lecture Notes in Computer Science","","","","10.1007/978-3-031-10522-7","Prof. Dr. Osvaldo GervasiBeniamino MurganteEligius M. T. HendrixDavid TaniarProf. Bernady O. Apduhan","2022","http://link.springer.com/book/10.1007/978-3-031-10522-7","Book"
"Future Intent-Based Networking","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-92435-5","Prof. Dr. Mikhailo KlymashProf. Mykola BeshleyProf. Dr. Andriy Luntovskyy","2022","http://link.springer.com/book/10.1007/978-3-030-92435-5","Book"
"Azure Kubernetes Services with Microservices","","","","","10.1007/978-1-4842-7809-3","Kasam Ahmed ShaikhShailesh S. Agaskar","2022","http://link.springer.com/book/10.1007/978-1-4842-7809-3","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-35333-9","Prof. Dr. Xavier FranchTomi MännistöSilverio Martínez-Fernández","2019","http://link.springer.com/book/10.1007/978-3-030-35333-9","Book"
"From Monolith to Microservices: A Classification of Refactoring Approaches","Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment","","","","10.1007/978-3-030-06019-0_10","Jonas FritzschJustus BognerAlfred ZimmermannStefan Wagner","2019","http://link.springer.com/chapter/10.1007/978-3-030-06019-0_10","Chapter"
"Web Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-74296-6","Ph.D. Marco BrambillaProf. Richard ChbeirFlavius FrasincarDr. Ioana Manolescu","2021","http://link.springer.com/book/10.1007/978-3-030-74296-6","Book"
"Tool Support for the Migration to Microservice Architecture: An Industrial Case Study","Software Architecture","","","","10.1007/978-3-030-29983-5_17","Ilaria PigazziniFrancesca Arcelli FontanaAndrea Maggioni","2019","http://link.springer.com/chapter/10.1007/978-3-030-29983-5_17","Chapter"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-030-85521-5","Murat YilmazPaul ClarkeDr. Richard MessnarzProf. Michael Reiner","2021","http://link.springer.com/book/10.1007/978-3-030-85521-5","Book"
"Assessing Your Microservice Migration","Microservices","","","","10.1007/978-3-030-31646-4_4","Alexis HenryYoussef Ridene","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_4","Chapter"
"Proceedings of the Future Technologies Conference (FTC) 2021, Volume 3","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-89912-7","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-89912-7","Book"
"Performance Analysis of Monolithic and Micro Service Architectures – Containers Technology","Trends and Applications in Software Engineering","","","","10.1007/978-3-030-01171-0_25","Alexis SaransigFreddy Tapia","2019","http://link.springer.com/chapter/10.1007/978-3-030-01171-0_25","Chapter"
"ITNG 2022 19th International Conference on Information Technology-New Generations","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-97652-1","Dr. Shahram Latifi","2022","http://link.springer.com/book/10.1007/978-3-030-97652-1","Book"
"Intelligent Systems Design and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96308-8","Dr. Ajith AbrahamDr. Niketa GandhiDr. Thomas HanneDr. Tzung-Pei HongDr. Tatiane Nogueira RiosDr. Weiping Ding","2022","http://link.springer.com/book/10.1007/978-3-030-96308-8","Book"
"Serverless Software Engineering – and How to Get There.","Systems, Software and Services Process Improvement","","","","10.1007/978-3-031-15559-8_6","Stephen McAleeseJordan Conway McLaughlinFilip DetynaAndrey MurashevMurat YilmazPaul M. Clarke","2022","http://link.springer.com/chapter/10.1007/978-3-031-15559-8_6","Chapter"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-64148-1","Dr. Maurizio MorisioProf. Marco TorchianoAndreas Jedlitschka","2020","http://link.springer.com/book/10.1007/978-3-030-64148-1","Book"
"Proceedings of Second International Conference on Sustainable Expert Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-7657-4","Dr. Subarna ShakyaDr. Ke-Lin DuDr. Wang Haoxiang","2022","http://link.springer.com/book/10.1007/978-981-16-7657-4","Book"
"Advances in Information Systems Development","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-030-95354-6","Dr. Emilio InsfranDr. Fernando GonzálezDr. Silvia AbrahãoDr. Marta FernándezDr. Chris BarryDr. Michael LangDr. Henry LingerDr. Christoph Schneider","2022","http://link.springer.com/book/10.1007/978-3-030-95354-6","Book"
"Advanced Information Networking and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-99587-4","Prof. Dr. Leonard BarolliProf. Farookh HussainProf. Tomoya Enokido","2022","http://link.springer.com/book/10.1007/978-3-030-99587-4","Book"
"Encyclopedia of Database Systems","","","","","10.1007/978-1-4614-8265-9","Ling LiuM. Tamer Özsu","2018","http://link.springer.com/referencework/10.1007/978-1-4614-8265-9","ReferenceWork"
"Embracing Event-Driven Architectures","Practical Event-Driven Microservices Architecture","","","","10.1007/978-1-4842-7468-2_1","Hugo Filipe Oliveira Rocha","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7468-2_1","Chapter"
"Data Spaces","","","","","10.1007/978-3-030-98636-0","Edward CurrySimon ScerriTuomo Tuikka","2022","http://link.springer.com/book/10.1007/978-3-030-98636-0","Book"
"Proceedings of 3rd International Conference on Machine Learning, Advances in Computing, Renewable Energy and Communication","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-2828-4","Anuradha TomarHasmat MalikPramod KumarAtif Iqbal","2022","http://link.springer.com/book/10.1007/978-981-19-2828-4","Book"
"Software Architecture","Lecture Notes in Computer Science","","","","10.1007/978-3-031-15116-3","Prof. Patrizia ScandurraMatthias GalsterProf. Raffaela MirandolaProf. Dr. Danny Weyns","2022","http://link.springer.com/book/10.1007/978-3-031-15116-3","Book"
"Continuous Architecting with Microservices and DevOps: A Systematic Mapping Study","Cloud Computing and Services Science","","","","10.1007/978-3-030-29193-8_7","Davide TaibiValentina LenarduzziClaus Pahl","2019","http://link.springer.com/chapter/10.1007/978-3-030-29193-8_7","Chapter"
"Architecting the Digital Transformation","Intelligent Systems Reference Library","","","","10.1007/978-3-030-49640-1","Prof. Alfred ZimmermannProf. Dr. Rainer SchmidtProf. Dr. Lakhmi C. Jain","2021","http://link.springer.com/book/10.1007/978-3-030-49640-1","Book"
"From a Monolith to a Microservices Architecture: An Approach Based on Transactional Contexts","Software Architecture","","","","10.1007/978-3-030-29983-5_3","Luís NunesNuno SantosAntónio Rito Silva","2019","http://link.springer.com/chapter/10.1007/978-3-030-29983-5_3","Chapter"
"Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-95947-0","Prof. Marinos ThemistocleousDr. Maria Papadaki","2022","http://link.springer.com/book/10.1007/978-3-030-95947-0","Book"
"Banking 4.0","","","","","10.1007/978-981-16-6069-6","Mohan Bhatia","2022","http://link.springer.com/book/10.1007/978-981-16-6069-6","Book"
"Moving from a Monolith to an Event-Driven Architecture","Practical Event-Driven Microservices Architecture","","","","10.1007/978-1-4842-7468-2_2","Hugo Filipe Oliveira Rocha","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7468-2_2","Chapter"
"Migrating to Microservices","Microservices","","","","10.1007/978-3-030-31646-4_3","Alexis HenryYoussef Ridene","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_3","Chapter"
"Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments","Service-Oriented Computing","","","","10.1007/978-3-030-03596-9_1","Jinjin LinPengfei ChenZibin Zheng","2018","http://link.springer.com/chapter/10.1007/978-3-030-03596-9_1","Chapter"
"Intelligent Distributed Computing XIV","Studies in Computational Intelligence","","","","10.1007/978-3-030-96627-0","David CamachoProf. Domenico RosaciProf. Giuseppe M. L. SarnéMario Versaci","2022","http://link.springer.com/book/10.1007/978-3-030-96627-0","Book"
"The Digital Journey of Banking and Insurance, Volume III","","","","","10.1007/978-3-030-78821-6","Volker LiermannClaus Stegmann","2021","http://link.springer.com/book/10.1007/978-3-030-78821-6","Book"
"On the Move to Meaningful Internet Systems: OTM 2019 Conferences","Lecture Notes in Computer Science","","","","10.1007/978-3-030-33246-4","Hervé PanettoChristophe DebruyneMartin HeppDave LewisDr. Claudio Agostino ArdagnaRobert Meersman","2019","http://link.springer.com/book/10.1007/978-3-030-33246-4","Book"
